date,crop,location,market,price_per_kg
2026-09-07,Tomato,Hyderabad,Bowenpally Wholesale Terminal,54.00
2026-09-08,Tomato,Hyderabad,Bowenpally Wholesale Terminal,54.50
2026-09-09,Tomato,Hyderabad,Bowenpally Wholesale Terminal,54.80
2026-09-10,Tomato,Hyderabad,Bowenpally Wholesale Terminal,55.00
2026-09-11,Tomato,Hyderabad,Bowenpally Wholesale Terminal,55.40
2026-09-12,Tomato,Hyderabad,Bowenpally Wholesale Terminal,55.80
2026-07-15,Onion,Nashik,Lasalgaon Mandi,24.00
2026-07-20,Onion,Nashik,Lasalgaon Mandi,24.50
2026-07-25,Onion,Nashik,Lasalgaon Mandi,25.20
2026-08-01,Onion,Nashik,Lasalgaon Mandi,26.00
2026-08-10,Onion,Nashik,Lasalgaon Mandi,27.50
2026-08-20,Onion,Nashik,Lasalgaon Mandi,29.00
2026-08-30,Onion,Nashik,Lasalgaon Mandi,31.20
2026-09-05,Onion,Nashik,Lasalgaon Mandi,32.50
2026-09-12,Onion,Nashik,Lasalgaon Mandi,33.80
2026-07-15,Green Chilli,Guntur,Guntur Mirchi Yard,48.00
2026-07-25,Green Chilli,Guntur,Guntur Mirchi Yard,51.00
2026-08-05,Green Chilli,Guntur,Guntur Mirchi Yard,54.50
2026-08-15,Green Chilli,Guntur,Guntur Mirchi Yard,58.00
2026-08-25,Green Chilli,Guntur,Guntur Mirchi Yard,61.50
2026-09-05,Green Chilli,Guntur,Guntur Mirchi Yard,64.00
2026-09-12,Green Chilli,Guntur,Guntur Mirchi Yard,66.50
2026-07-15,Potato,Hyderabad,Gudimalkapur Market,18.00
2026-07-25,Potato,Hyderabad,Gudimalkapur Market,18.50
2026-08-05,Potato,Hyderabad,Gudimalkapur Market,19.00
2026-08-15,Potato,Hyderabad,Gudimalkapur Market,19.50
2026-08-25,Potato,Hyderabad,Gudimalkapur Market,20.00
2026-09-05,Potato,Hyderabad,Gudimalkapur Market,21.00
2026-09-12,Potato,Hyderabad,Gudimalkapur Market,21.50
2026-07-15,Turmeric,Nizamabad,Nizamabad Mandi,74.00
2026-07-25,Turmeric,Nizamabad,Nizamabad Mandi,76.50
2026-08-05,Turmeric,Nizamabad,Nizamabad Mandi,79.00
2026-08-15,Turmeric,Nizamabad,Nizamabad Mandi,82.00
2026-08-25,Turmeric,Nizamabad,Nizamabad Mandi,85.50
2026-09-05,Turmeric,Nizamabad,Nizamabad Mandi,88.00
2026-09-12,Turmeric,Nizamabad,Nizamabad Mandi,91.00
